Equipe 1	51	23	69	31	23	60	72	38	4	9
Equipe 2	92	25	71	8	31	63	23	90	32	55
Equipe 3	14	88	26	98	46	62	63	73	64	16
Equipe 4	71	59	8	18	85	68	98	89	17	73
Equipe 5	60	40	61	47	22	21	48	18	95	16
Equipe 6	20	28	36	79	65	92	98	38	48	83
Equipe 7	82	14	96	2	26	66	35	66	10	87
Equipe 8	86	44	50	19	1	75	81	44	84	68
Equipe 9	74	64	43	23	89	25	95	12	25	33
Equipe 10	74	88	23	53	16	15	23	91	62	5
Equipe 11	87	70	78	32	32	50	22	57	88	52
Equipe 12	99	8	58	23	8	100	61	19	85	65
Equipe 13	23	87	31	74	42	85	95	91	58	76
Equipe 14	2	0	95	71	47	56	36	71	26	42
Equipe 15	21	7	87	35	38	28	11	60	48	74
Equipe 16	52	87	51	37	92	77	54	38	76	22
Equipe 17	1	62	61	83	41	91	12	0	32	54
Equipe 18	87	10	57	98	25	68	22	2	97	79
Equipe 19	29	80	51	88	98	46	88	76	98	94
Equipe 20	37	7	11	98	49	93	98	91	0	74
Equipe 21	1	34	38	24	24	61	29	61	20	15
Equipe 22	63	34	1	92	23	68	16	62	54	7
Equipe 23	59	32	2	17	12	75	61	24	5	3
Equipe 24	20	4	100	81	59	15	83	55	91	3
Equipe 25	32	40	55	65	6	89	88	32	80	55
Equipe 26	75	27	80	53	56	89	85	37	68	24
Equipe 27	57	6	58	34	35	47	12	5	94	66
Equipe 28	21	72	1	79	44	84	58	57	4	95
Equipe 29	88	71	1	60	19	38	18	43	2	66
Equipe 30	48	11	91	40	64	99	48	44	52	26
Equipe 31	90	33	53	99	7	32	99	31	22	92
Equipe 32	58	32	86	32	15	93	11	44	100	31
Equipe 33	41	47	100	67	13	100	60	60	52	49
Equipe 34	91	22	95	32	75	22	18	46	36	60
Equipe 35	59	61	96	13	86	9	75	20	73	50
Equipe 36	79	87	0	20	14	68	8	79	73	18
Equipe 37	14	36	18	47	91	99	70	84	82	20
Equipe 38	61	98	1	19	97	33	27	74	16	4
Equipe 39	61	43	52	7	65	51	77	100	84	81
Equipe 40	46	85	43	6	31	94	94	35	77	91
Equipe 41	61	90	89	66	86	9	51	98	72	41
Equipe 42	50	34	31	16	62	18	82	18	0	60
Equipe 43	54	64	69	32	85	57	15	19	50	21
Equipe 44	63	98	31	47	50	95	68	56	44	20
Equipe 45	2	100	67	75	24	0	98	17	76	69
Equipe 46	100	46	54	58	57	68	11	46	3	0
Equipe 47	50	77	74	85	62	3	24	48	61	4
Equipe 48	6	2	55	21	61	15	51	13	64	11
Equipe 49	20	0	16	29	21	23	84	14	31	89
Equipe 50	72	4	37	37	57	79	99	30	33	45
Equipe 51	38	89	23	50	57	1	52	0	91	33
Equipe 52	17	13	68	53	85	91	22	53	94	48
Equipe 53	3	26	97	7	48	31	15	2	71	77
Equipe 54	88	8	69	26	51	90	56	15	38	89
Equipe 55	59	78	85	26	41	83	38	86	25	44
Equipe 56	13	14	10	97	69	23	52	56	33	26
Equipe 57	8	89	15	20	14	11	41	74	53	72
Equipe 58	89	41	96	29	53	49	57	11	2	25
Equipe 59	52	76	72	96	59	34	38	73	49	46
Equipe 60	1	50	58	27	100	32	13	95	11	85
Equipe 61	83	62	69	63	96	32	94	15	64	55
Equipe 62	91	95	79	96	7	60	4	71	53	93
Equipe 63	59	51	92	68	52	50	34	75	4	62
Equipe 64	70	95	2	60	59	42	86	23	93	47
Equipe 65	43	3	19	47	4	100	92	27	93	60
Equipe 66	7	93	58	18	67	11	74	7	56	80
Equipe 67	46	100	35	3	5	66	17	91	16	25
Equipe 68	34	22	18	34	95	64	75	35	46	35
Equipe 69	77	14	89	63	93	32	8	89	22	0
Equipe 70	80	42	66	48	46	39	73	7	78	7
Equipe 71	35	28	18	16	98	73	57	57	100	98
Equipe 72	49	35	19	43	54	42	16	59	84	51
Equipe 73	3	12	95	91	39	43	6	49	13	78
Equipe 74	1	31	70	29	51	28	45	27	65	46
Equipe 75	5	70	51	92	15	12	12	91	74	55
Equipe 76	53	58	32	45	12	11	39	100	50	85
Equipe 77	3	85	39	5	29	94	41	40	37	13
Equipe 78	53	27	38	98	18	45	8	99	63	89
Equipe 79	92	65	81	36	16	1	49	63	97	27
Equipe 80	62	41	0	23	62	34	26	26	37	86
Equipe 81	17	44	10	92	18	86	65	62	49	77
Equipe 82	89	61	91	45	91	80	4	16	97	87
Equipe 83	43	56	56	52	57	89	28	72	81	1
Equipe 84	33	5	88	94	54	7	36	32	29	25
Equipe 85	73	27	49	98	89	92	37	83	78	13
Equipe 86	61	27	22	59	100	25	82	76	90	58
Equipe 87	99	43	30	96	89	73	7	91	50	55
Equipe 88	13	83	93	62	61	89	64	28	62	6
Equipe 89	94	29	41	84	22	33	85	12	97	2
Equipe 90	47	61	98	31	8	6	16	45	51	22
Equipe 91	14	74	6	86	11	67	70	34	37	17
Equipe 92	71	91	15	32	0	57	88	5	96	37
Equipe 93	77	88	89	66	57	74	44	81	87	98
Equipe 94	86	61	59	17	0	28	3	68	78	14
Equipe 95	61	96	1	24	33	35	35	46	29	63
Equipe 96	39	0	0	94	95	88	69	24	50	88
Equipe 97	84	26	47	53	47	20	30	65	80	100
Equipe 98	79	61	11	57	88	35	18	9	4	27
Equipe 99	81	76	68	66	0	9	60	55	28	73
Equipe 100	52	2	36	45	15	100	53	29	3	38
